name,info,occupation
Bruce_Willis,"Gender:MaleDate of Birth:19 March  1955 - 18:32hBirth place:Idar-ObersteinCountry:DE, GermanyAge:65 years",r_singers
Eddie_Murphy,"Gender:MaleDate of Birth:3 April  1961 - 13:30hBirth place:New York, New YorkCountry:US, United StatesAge:59 years",r_singers
Nicole_Kidman,"Gender:FemaleDate of Birth:20 June  1967 - 15:15hBirth place:Honolulu, HawaiiCountry:US, United StatesAge:52 years",r_singers
Will_Smith,"Gender:MaleDate of Birth:25 September  1968 - 01:46hBirth place:Philadelphia, PennsylvaniaCountry:US, United StatesAge:51 years",r_singers
Jackie_Chan,"Gender:MaleDate of Birth:7 April  1954 - 09:45hBirth place:Hong KongCountry:HK, Hong KongAge:66 years",r_singers
Whoopi_Goldberg,"Gender:FemaleDate of Birth:13 November  1955 - 12:48hBirth place:New York, New YorkCountry:US, United StatesAge:64 years",r_singers
Russell_Crowe,"Gender:MaleDate of Birth:7 April  1964 - 02:00hBirth place:Wellington, WellingtonCountry:NZ, New ZealandAge:56 years",r_singers
John_Travolta,"Gender:MaleDate of Birth:18 February  1954 - 14:53hBirth place:Englewood Cliffs, New JerseyCountry:US, United StatesAge:66 years",r_singers
Kevin_Costner,"Gender:MaleDate of Birth:18 January  1955 - 21:40hBirth place:Lynwood, CaliforniaCountry:US, United StatesAge:65 years",r_singers
Robert_Downey_Jr.,"Gender:MaleDate of Birth:4 April  1965 - 13:10hBirth place:New York, New YorkCountry:US, United StatesAge:55 years",r_singers
Milla_Jovovich,"Gender:FemaleDate of Birth:17 December  1975 - 17:15hBirth place:KievCountry:UA, UkraineAge:44 years",r_singers
David_Bowie,"Gender:MaleDate of Birth:8 January  1947 - 09:00hBirth place:London, EnglandCountry:GB, United KingdomAge:† 69 years",r_singers
Kate_Winslet,"Gender:FemaleDate of Birth:5 October  1975 - 07:15hBirth place:Reading, EnglandCountry:GB, United KingdomAge:44 years",r_singers
Tony_Perkins,"Gender:MaleDate of Birth:4 April  1932Birth place:New York, New YorkCountry:US, United StatesAge:† 60 years",r_singers
Diane_Keaton,"Gender:FemaleDate of Birth:5 January  1946 - 02:49hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:74 years",r_singers
Helena_Bonham_Carter,"Gender:FemaleDate of Birth:26 May  1966Birth place:London, EnglandCountry:GB, United KingdomAge:53 years",r_singers
Meat_Loaf,"Gender:MaleDate of Birth:27 September  1947 - 16:23hBirth place:Dallas, TexasCountry:US, United StatesAge:72 years",r_singers
Jared_Leto,"Gender:MaleDate of Birth:26 December  1971 - 00:00hBirth place:Bossier City, LouisianaCountry:US, United StatesAge:48 years",r_singers
Kevin_Bacon,"Gender:MaleDate of Birth:8 July  1958Birth place:Philadelphia, PennsylvaniaCountry:US, United StatesAge:61 years",r_singers
Antonio_Banderas,"Gender:MaleDate of Birth:10 August  1960 - 21:00hBirth place:MálagaCountry:ES, SpainAge:59 years",r_singers
Don_Johnson,"Gender:MaleDate of Birth:15 December  1949 - 22:30hBirth place:Flat Creek, MissouriCountry:US, United StatesAge:70 years",r_singers
