name,info,occupation
Mel_Gibson,"Gender:MaleDate of Birth:3 January  1956 - 16:45hBirth place:Peekskill, New YorkCountry:US, United StatesAge:64 years",r_actors
Sharon_Stone,"Gender:FemaleDate of Birth:10 March  1958 - 17:55hBirth place:Meadville, PennsylvaniaCountry:US, United StatesAge:62 years",r_actors
Bruce_Willis,"Gender:MaleDate of Birth:19 March  1955 - 18:32hBirth place:Idar-ObersteinCountry:DE, GermanyAge:65 years",r_actors
Julia_Roberts,"Gender:FemaleDate of Birth:28 October  1967 - 00:16hBirth place:Atlanta, GeorgiaCountry:US, United StatesAge:52 years",r_actors
Brad_Pitt,"Gender:MaleDate of Birth:18 December  1963 - 06:31hBirth place:Shawnee, OklahomaCountry:US, United StatesAge:56 years",r_actors
Eddie_Murphy,"Gender:MaleDate of Birth:3 April  1961 - 13:30hBirth place:New York, New YorkCountry:US, United StatesAge:59 years",r_actors
Peter_Jackson,"Gender:MaleDate of Birth:31 October  1961 - 18:45hBirth place:Porirua, WellingtonCountry:NZ, New ZealandAge:58 years",r_actors
Denzel_Washington,"Gender:MaleDate of Birth:28 December  1954 - 00:09hBirth place:Mount Vernon, New YorkCountry:US, United StatesAge:65 years",r_actors
Ethan_Hawke,"Gender:MaleDate of Birth:6 November  1970Birth place:Austin, TexasCountry:US, United StatesAge:49 years",r_actors
Ewan_McGregor,"Gender:MaleDate of Birth:31 March  1971 - 20:10hBirth place:Perth, ScotlandCountry:GB, United KingdomAge:49 years",r_actors
Liam_Neeson,"Gender:MaleDate of Birth:7 June  1952 - 21:55hBirth place:BallymenaCountry:IE, IrelandAge:67 years",r_actors
Jessica_Lange,"Gender:FemaleDate of Birth:20 April  1949 - 11:00hBirth place:Cloquet, MinnesotaCountry:US, United StatesAge:70 years",r_actors
Edward_Norton,"Gender:MaleDate of Birth:18 August  1969 - 14:00hBirth place:Boston, MassachusettsCountry:US, United StatesAge:50 years",r_actors
Bill_Pullman,"Gender:MaleDate of Birth:17 December  1953Birth place:Hornell, New YorkCountry:US, United StatesAge:66 years",r_actors
Bill_Paxton,"Gender:MaleDate of Birth:17 May  1955Birth place:Fort Worth, TexasCountry:US, United StatesAge:64 years",r_actors
Jeremy_Irons,"Gender:MaleDate of Birth:19 September  1948 - 02:00hBirth place:Cowes, EnglandCountry:GB, United KingdomAge:71 years",r_actors
Maggie_Smith,"Gender:FemaleDate of Birth:28 December  1934Birth place:Ilford, EssexCountry:GB, United KingdomAge:85 years",r_actors
Nicole_Kidman,"Gender:FemaleDate of Birth:20 June  1967 - 15:15hBirth place:Honolulu, HawaiiCountry:US, United StatesAge:52 years",r_actors
Penélope_Cruz,"Gender:FemaleDate of Birth:28 April  1974 - 07:00hBirth place:AlcobendasCountry:ES, SpainAge:45 years",r_actors
Judi_Dench,"Gender:FemaleDate of Birth:9 December  1934 - 19:55hBirth place:York, EnglandCountry:GB, United KingdomAge:85 years",r_actors
Tommy_Lee_Jones,"Gender:MaleDate of Birth:15 September  1946 - 22:00hBirth place:San Saba, TexasCountry:US, United StatesAge:73 years",r_actors
Will_Smith,"Gender:MaleDate of Birth:25 September  1968 - 01:46hBirth place:Philadelphia, PennsylvaniaCountry:US, United StatesAge:51 years",r_actors
Kevin_Kline,"Gender:MaleDate of Birth:24 October  1947 - 09:11hBirth place:St. Louis, MissouriCountry:US, United StatesAge:72 years",r_actors
Cheech_Marin,"Gender:MaleDate of Birth:13 July  1946 - 13:00hBirth place:Los Angeles, CaliforniaCountry:US, United StatesAge:73 years",r_actors
Danny_Trejo,"Gender:MaleDate of Birth:16 May  1944Birth place:Echo Park, Los AngelesCountry:US, United StatesAge:75 years",r_actors
George_Clooney,"Gender:MaleDate of Birth:6 May  1961 - 02:58hBirth place:Lexington, KentuckyCountry:US, United StatesAge:58 years",r_actors
Andy_Garcia,"Gender:MaleDate of Birth:12 April  1956Birth place:HavanaCountry:CU, CubaAge:63 years",r_actors
Sylvester_Stallone,"Gender:MaleDate of Birth:6 July  1946 - 19:20hBirth place:New York, New YorkCountry:US, United StatesAge:73 years",r_actors
Arnold_Schwarzenegger,"Gender:MaleDate of Birth:30 July  1947 - 04:10hBirth place:GrazCountry:AT, AustriaAge:72 years",r_actors
Jean-Claude_Van_Damme,"Gender:MaleDate of Birth:18 October  1960 - 06:45hBirth place:Sint-Agatha-BerchemCountry:BE, BelgiumAge:59 years",r_actors
Dolph_Lundgren,"Gender:MaleDate of Birth:3 November  1957Birth place:StockholmCountry:SE, SwedenAge:62 years",r_actors
Jackie_Chan,"Gender:MaleDate of Birth:7 April  1954 - 09:45hBirth place:Hong KongCountry:HK, Hong KongAge:66 years",r_actors
Yun-Fat_Chow,"Gender:MaleDate of Birth:18 May  1955Birth place:ostrov LammaCountry:HK, Hong KongAge:64 years",r_actors
Donnie_Yen,"Gender:MaleDate of Birth:27 July  1963Birth place:GuangzhouCountry:CN, ChinaAge:56 years",r_actors
William_Baldwin,"Gender:MaleDate of Birth:21 February  1963Birth place:Massapequa, New YorkCountry:US, United StatesAge:57 years",r_actors
Daniel_Baldwin,"Gender:MaleDate of Birth:5 October  1960Birth place:Massapequa, New YorkCountry:US, United StatesAge:59 years",r_actors
Clint_Eastwood,"Gender:MaleDate of Birth:31 May  1930 - 17:35hBirth place:San Francisco, CaliforniaCountry:US, United StatesAge:89 years",r_actors
Adam_Baldwin,"Gender:MaleDate of Birth:27 February  1962Birth place:Chicago, IllinoisCountry:US, United StatesAge:58 years",r_actors
